Escola_completo;Distrito;Concelho;Tipo de escola;Média Texto;Média Grupo;Latitude;Longitude
87. Escola Secundária Rainha Dona Leonor;Lisboa;Lisboa;Pública;Média: 12.03;Mais de 12;38.7513657;-9.1435204
88. Escola Básica e Secundária de Caminha;Viana do Castelo;Caminha;Pública;Média: 12;Mais de 12;41.8732942;-8.8384537
89. Escola Secundária do Restelo;Lisboa;Lisboa;Pública;Média: 11.98;10 a 11,99;38.7095565;-9.2169522
90. Escola Secundária de Arouca;Aveiro;Arouca;Pública;Média: 11.96;10 a 11,99;40.9286553;-8.2544986
91. Escola Básica e Secundária da Guia;Leiria;Pombal;Pública;Média: 11.93;10 a 11,99;39.9488879;-8.8057801
92. Colégio Diocesano de Nossa Senhora da Apresentação;Aveiro;Vagos;Privada;Média: 11.93;10 a 11,99;40.4783683;-8.7086170
93. Externato Infante D. Henrique;Braga;Braga;Privada;Média: 11.92;10 a 11,99;38.7385706;-9.1492225
94. Escola Secundária de Santa Comba Dão;Viseu;Santa Comba Dão;Pública;Média: 11.9;10 a 11,99;40.4073805;-8.1325422
95. Escola Secundária Daniel Faria;Porto;Paredes;Pública;Média: 11.89;10 a 11,99;41.1928867;-8.3871649
96. Escola Secundária Dr.ª Felismina Alcântara;Viseu;Mangualde;Pública;Média: 11.89;10 a 11,99;40.6015832;-7.7559140
97. Colégio São José do Ramalhão;Lisboa;Sintra;Privada;Média: 11.89;10 a 11,99;38.7867435;-9.3750303
98. Escola Secundária Gabriel Pereira;Évora;Évora;Pública;Média: 11.87;10 a 11,99;38.5746329;-7.9047232
99. Colégio do Castanheiro;Açores;Ponta Delgada ;Privada;Média: 11.86;10 a 11,99;37.7502811;-25.6654757
100. Escola Secundária da Quinta do Marquês;Lisboa;Oeiras;Pública;Média: 11.84;10 a 11,99;38.6986714;-9.3254335
101. Escola Secundária do Castêlo da Maia;Porto;Maia;Pública;Média: 11.84;10 a 11,99;41.2593778;-8.6125327
102. Escola Secundária José Falcão;Coimbra;Coimbra;Pública;Média: 11.84;10 a 11,99;40.2117525;-8.4155702
103. Escola Básica e Secundária Martinho Árias;Coimbra;Soure;Pública;Média: 11.84;10 a 11,99;40.0677186;-8.6163974
104. Escola Básica e Secundária Amadeu Gaudêncio;Leiria;Nazaré;Pública;Média: 11.83;10 a 11,99;39.6068944;-9.0683779
105. Colégio Miramar;Lisboa;Mafra;Privada;Média: 11.83;10 a 11,99;39.0074768;-9.3799983
106. Escola Secundária Dr. Júlio Martins;Vila Real;Chaves;Pública;Média: 11.83;10 a 11,99;41.7436880;-7.4681281
107. Escola Secundária de Miraflores;Lisboa;Oeiras;Pública;Média: 11.82;10 a 11,99;38.7094569;-9.2285500
108. Escola Básica e Secundária Padre José Augusto da Fonseca;Guarda;Aguiar da Beira;Pública;Média: 11.82;10 a 11,99;40.8194666;-7.5456686
109. Escola Secundária de Nelas;Viseu;Nelas;Pública;Média: 11.81;10 a 11,99;40.5286344;-7.8567255
110. Escola Básica e Secundária Dr. Vieira de Carvalho;Porto;Maia;Pública;Média: 11.79;10 a 11,99;41.2445459;-8.6649673
111. Escola Secundária Antero de Quental;Açores;Ponta Delgada ;Pública;Média: 11.78;10 a 11,99;37.7408607;-25.6744086
112. Escola Secundária Professor José Augusto Lucas;Lisboa;Oeiras;Pública;Média: 11.77;10 a 11,99;38.7116137;-9.2381742
113. Escola Secundária da Maia;Porto;Maia;Pública;Média: 11.77;10 a 11,99;41.2326467;-8.6201751
114. Escola Básica e Secundária de Vila Nova de Cerveira;Viana do Castelo;Vila Nova de Cerveira;Pública;Média: 11.75;10 a 11,99;41.9377725;-8.7438582
115. Escola Secundária Sebastião e Silva;Lisboa;Oeiras;Pública;Média: 11.75;10 a 11,99;38.6854135;-9.3209472
116. Escola Secundária de Barcelos;Braga;Barcelos;Pública;Média: 11.74;10 a 11,99;41.5292783;-8.6166069
117. Escola Secundária Vergílio Ferreira;Lisboa;Lisboa;Pública;Média: 11.74;10 a 11,99;38.7603576;-9.1834696
118. Escola Secundária Alcaides de Faria;Braga;Barcelos;Pública;Média: 11.73;10 a 11,99;41.5364103;-8.6204159
119. Escola Secundária Alberto Sampaio;Braga;Braga;Pública;Média: 11.73;10 a 11,99;41.5434655;-8.4157241
120. Escola Básica e Secundária de Fajões;Aveiro;Oliveira de Azeméis;Pública;Média: 11.73;10 a 11,99;40.9180796;-8.4338246
121. Escola Secundária de Monserrate;Viana do Castelo;Viana do Castelo;Pública;Média: 11.72;10 a 11,99;41.6930690;-8.8439824
122. Escola Secundária de Santa Maria do Olival;Santarém;Tomar;Pública;Média: 11.72;10 a 11,99;39.6027519;-8.4071157
123. Escola Básica e Secundária de Moimenta da Beira;Viseu;Moimenta da Beira;Pública;Média: 11.72;10 a 11,99;40.9864331;-7.6178756
124. Escola Secundária Lima-de-Faria;Coimbra;Cantanhede;Pública;Média: 11.72;10 a 11,99;40.3458131;-8.5865808
125. Escola Secundária São Pedro;Vila Real;Vila Real;Pública;Média: 11.72;10 a 11,99;41.3014153;-7.7480492
126. Escola Secundária Martins Sarmento;Braga;Guimarães;Pública;Média: 11.71;10 a 11,99;41.4450837;-8.2906149
